Driver,AKB,B3,BY,CE,FB,FR,G5,KN,LD,OE,PP,PUP,S6,SI,SK,SX,UN,VC,VT,WA,WH,AKB_probability,B3_probability,BY_probability,CE_probability,FB_probability,FR_probability,G5_probability,KN_probability,LD_probability,OE_probability,PP_probability,PUP_probability,S6_probability,SI_probability,SK_probability,SX_probability,UN_probability,VC_probability,VT_probability,WA_probability,WH_probability,average_probability,normalized_probability,quali_points,xPts
Lando Norris,47/25,9/4,9/4,7/4,5/4,15/8,9/4,7/4,7/4,9/4,9/4,47/25,15/8,7/5,5/4,7/5,7/4,9/4,5/4,5/4,2,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,29.696925711795707,10,2.9696925711795705
Charles Leclerc,3,3,3,4,9/4,3,3,13/4,4,3,3,3,3,12/5,9/4,12/5,13/4,3,9/4,9/4,10/3,0.25,0.25,0.25,0.2,,0.25,0.25,,0.2,0.25,0.25,0.25,0.25,,,,,0.25,,,,0.24166666666666667,21.530271141051887,12,2.5836325369262267
Oscar Piastri,4,4,7/2,7/2,9/2,4,7/2,7/2,7/2,4,4,4,4,9/2,9/2,9/2,7/2,7/2,9/2,9/2,3,0.2,0.2,,,,0.2,,,,0.2,0.2,0.2,0.2,,,,,,,,0.25,0.20625,18.374972784173593,14,2.572496189784303
Max Verstappen,11/4,11/4,11/4,7/2,12,11/4,11/4,13/4,7/2,11/4,13/5,11/4,11/4,10,12,10,13/4,11/4,12,12,3,,,,,0.07692307692307693,,,,,,,,,0.09090909090909091,0.07692307692307693,0.09090909090909091,,,0.07692307692307693,0.07692307692307693,0.25,0.10564435564435566,9.411937744322866,12,1.129432529318744
George Russell,16,12,16,8,20,16,16,10,8,12,12,16,16,18,20,18,10,16,20,20,16,0.058823529411764705,0.07692307692307693,0.058823529411764705,0.1111111111111111,0.047619047619047616,0.058823529411764705,0.058823529411764705,0.09090909090909091,0.1111111111111111,0.07692307692307693,0.07692307692307693,0.058823529411764705,0.058823529411764705,0.05263157894736842,0.047619047619047616,0.05263157894736842,0.09090909090909091,0.058823529411764705,0.047619047619047616,0.047619047619047616,0.058823529411764705,0.0667208199273657,5.944209698439233,16,0.9510735517502773
Lewis Hamilton,16,20,20,22,14,16,20,14,22,20,20,16,16,11,14,11,14,20,14,14,20,0.058823529411764705,0.047619047619047616,0.047619047619047616,0.043478260869565216,0.06666666666666667,0.058823529411764705,0.047619047619047616,0.06666666666666667,0.043478260869565216,0.047619047619047616,0.047619047619047616,0.058823529411764705,0.058823529411764705,0.08333333333333333,0.06666666666666667,0.08333333333333333,0.06666666666666667,0.047619047619047616,0.06666666666666667,0.06666666666666667,0.047619047619047616,0.05820241139934234,5.185298062720923,14,0.7259417287809292
Carlos Sainz,40,40,40,40,40,40,40,50,40,40,40,40,40,20,40,20,50,40,40,40,40,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0196078431372549,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.047619047619047616,0.024390243902439025,0.047619047619047616,0.0196078431372549,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.02614704418352707,2.3294604861037302,28,0.6522489361090444
Kimi Antonelli,50,66,66,40,50,50,66,60,40,66,70,50,50,40,50,40,60,66,50,50,66,0.0196078431372549,0.014925373134328358,0.014925373134328358,0.024390243902439025,0.0196078431372549,0.0196078431372549,0.014925373134328358,0.01639344262295082,0.024390243902439025,0.014925373134328358,0.014084507042253521,0.0196078431372549,0.0196078431372549,0.024390243902439025,0.0196078431372549,0.024390243902439025,0.01639344262295082,0.014925373134328358,0.0196078431372549,0.0196078431372549,0.014925373134328358,0.018611778657234315,1.6581378244448168,18,0.298464808400067
Liam Lawson,100,100,100,300,50,100,100,150,300,100,125,100,100,40,50,40,150,100,50,50,100,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0033222591362126247,0.0196078431372549,0.009900990099009901,0.009900990099009901,0.006622516556291391,0.0033222591362126247,0.009900990099009901,0.007936507936507936,0.009900990099009901,0.009900990099009901,0.024390243902439025,0.0196078431372549,0.024390243902439025,0.006622516556291391,0.009900990099009901,0.0196078431372549,0.0196078431372549,0.009900990099009901,0.012097515269786316,1.0777770367924753,20,0.21555540735849504
Alex Albon,100,100,100,100,70,100,100,100,100,100,125,100,100,80,66,80,100,100,66,66,100,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.014084507042253521,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.007936507936507936,0.009900990099009901,0.009900990099009901,0.012345679012345678,0.014925373134328358,0.012345679012345678,0.009900990099009901,0.009900990099009901,0.014925373134328358,0.014925373134328358,0.009900990099009901,0.010957254942503644,0.9761903580982112,32,0.3123809145914276
Yuki Tsunoda,200,100,150,150,70,200,150,150,150,150,125,200,200,80,66,80,150,150,66,66,100,0.004975124378109453,0.009900990099009901,0.006622516556291391,0.006622516556291391,0.014084507042253521,0.004975124378109453,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.007936507936507936,0.004975124378109453,0.004975124378109453,0.012345679012345678,0.014925373134328358,0.012345679012345678,0.006622516556291391,0.006622516556291391,0.014925373134328358,0.014925373134328358,0.009900990099009901,0.008770052503201268,0.7813307930283481,40,0.31253231721133923
Fernando Alonso,200,125,100,250,125,200,100,150,250,100,150,200,200,80,100,80,150,100,100,125,150,0.004975124378109453,0.007936507936507936,0.009900990099009901,0.00398406374501992,0.007936507936507936,0.004975124378109453,0.009900990099009901,0.006622516556291391,0.00398406374501992,0.009900990099009901,0.006622516556291391,0.004975124378109453,0.004975124378109453,0.012345679012345678,0.009900990099009901,0.012345679012345678,0.006622516556291391,0.009900990099009901,0.009900990099009901,0.007936507936507936,0.006622516556291391,0.007726929221710373,0.6883981292323091,43,0.2960111955698929
Isack Hadjar,225,150,150,200,125,200,150,250,200,150,175,225,225,200,100,200,250,150,100,125,150,0.004424778761061947,0.006622516556291391,0.006622516556291391,0.004975124378109453,0.007936507936507936,0.004975124378109453,0.006622516556291391,0.00398406374501992,0.004975124378109453,0.006622516556291391,0.005681818181818182,0.004424778761061947,0.004424778761061947,0.004975124378109453,0.009900990099009901,0.004975124378109453,0.00398406374501992,0.006622516556291391,0.009900990099009901,0.007936507936507936,0.006622516556291391,0.006057619012113102,0.5396779853792523,60,0.32380679122755135
Pierre Gasly,200,150,150,250,175,200,150,250,250,150,175,200,200,150,150,150,250,150,150,150,150,0.004975124378109453,0.006622516556291391,0.006622516556291391,0.00398406374501992,0.005681818181818182,0.004975124378109453,0.006622516556291391,0.00398406374501992,0.00398406374501992,0.006622516556291391,0.005681818181818182,0.004975124378109453,0.004975124378109453,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.00398406374501992,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.005716574808350437,0.5092940922285172,40,0.20371763689140684
Lance Stroll,225,150,150,500,175,200,150,250,500,150,175,225,225,200,150,200,250,150,150,150,200,0.004424778761061947,0.006622516556291391,0.006622516556291391,0.001996007984031936,0.005681818181818182,0.004975124378109453,0.006622516556291391,0.00398406374501992,0.001996007984031936,0.006622516556291391,0.005681818181818182,0.004424778761061947,0.004424778761061947,0.004975124378109453,0.006622516556291391,0.004975124378109453,0.00398406374501992,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.004975124378109453,0.005213273622271184,0.4644545984275544,46,0.21364911527667502
Esteban Ocon,400,500,500,1500,500,400,500,1000,1500,500,500,400,400,400,50,400,1000,500,500,500,500,0.0024937655860349127,0.001996007984031936,0.001996007984031936,0.0006662225183211193,0.001996007984031936,0.0024937655860349127,0.001996007984031936,0.000999000999000999,0.0006662225183211193,0.001996007984031936,0.001996007984031936,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,0.0196078431372549,0.0024937655860349127,0.000999000999000999,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.002755283977544189,0.24547039078809232,56,0.1374634188413317
Nico Hulkenberg,500,500,500,300,500,500,500,500,300,500,500,500,500,400,1000,400,500,500,1000,500,500,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.0033222591362126247,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.0033222591362126247,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.0024937655860349127,0.000999000999000999,0.0024937655860349127,0.001996007984031936,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.001996007984031936,0.0020747700572845765,0.1848428767807146,60,0.11090572606842876
Jack Doohan,500,500,500,500,500,500,500,500,500,500,500,500,500,1000,1000,1000,500,500,1000,500,500,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001996007984031936,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.001996007984031936,0.0018061018916450905,0.16090702111235386,56,0.09010793182291817
Gabriel Bortoleto,750,500,500,250,500,500,500,1000,250,500,500,750,750,1000,2000,1000,1000,500,2000,1000,500,0.0013315579227696406,0.001996007984031936,0.001996007984031936,0.00398406374501992,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.000999000999000999,0.00398406374501992,0.001996007984031936,0.001996007984031936,0.0013315579227696406,0.0013315579227696406,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.000999000999000999,0.001996007984031936,0.0004997501249375312,0.000999000999000999,0.001996007984031936,0.0017105418266436304,0.15239350065826565,60,0.09143610039495939
Oliver Bearman,1000,1000,1000,2500,500,1000,1000,1000,2500,1000,500,1000,1000,,2000,,1000,1500,2000,1000,750,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.00039984006397441024,0.001996007984031936,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.00039984006397441024,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.000999000999000999,,0.0004997501249375312,,0.000999000999000999,0.0006662225183211193,0.0004997501249375312,0.000999000999000999,0.0013315579227696406,0.0009883151461047108,0.08804976442114235,45,0.03962239398951405
