Driver,B3,SK,PP,WH,FB,VC,LD,UN,SX,KN,BY,OE,S6,PUP,SI,LS,QN,WA,CE,G5,VT,AKB,BF,MA,B3_probability,SK_probability,PP_probability,WH_probability,FB_probability,VC_probability,LD_probability,UN_probability,SX_probability,KN_probability,BY_probability,OE_probability,S6_probability,PUP_probability,SI_probability,LS_probability,QN_probability,WA_probability,CE_probability,G5_probability,VT_probability,AKB_probability,BF_probability,MA_probability,average_probability,normalized_probability
Lando Norris,1.9090909090909087,1.9090909090909087,1.8333333333333333,1.9090909090909087,1.8333333333333333,1.9090909090909087,1.0,1.95,1.8333333333333333,1.95,1.9090909090909087,1.9090909090909087,1.9090909090909087,1.9090909090909087,1.8333333333333333,1.95,1.9090909090909087,1.9090909090909087,1.0,1.94,1.9,1.95,1.9523809523809523,1.9523809523809523,0.34375000000000006,0.34375000000000006,0.35294117647058826,0.34375000000000006,0.35294117647058826,0.34375000000000006,0.5,0.3389830508474576,0.35294117647058826,0.3389830508474576,0.34375000000000006,0.34375000000000006,0.34375000000000006,0.34375000000000006,0.35294117647058826,0.3389830508474576,0.34375000000000006,0.34375000000000006,0.5,0.3401360544217687,0.3448275862068966,0.3389830508474576,0.3387096774193548,0.3387096774193548,0.356982496030815,35.83776348389708
Oscar Piastri,4.333333333333334,3.0,4.2,3.0,4.2,4.333333333333334,4.5,4.25,4.333333333333334,4.25,4.333333333333334,4.333333333333334,3.25,3.25,4.333333333333334,4.25,4.25,3.0,4.5,4.2,,4.5,4.333333333333334,4.333333333333334,0.18749999999999997,0.25,0.1923076923076923,0.25,0.1923076923076923,0.18749999999999997,0.18181818181818182,0.19047619047619047,0.18749999999999997,0.19047619047619047,0.18749999999999997,0.18749999999999997,0.23529411764705882,0.23529411764705882,0.18749999999999997,0.19047619047619047,0.19047619047619047,0.25,0.18181818181818182,0.1923076923076923,,0.18181818181818182,0.18749999999999997,0.18749999999999997,0.20021176606854355,20.099422237325694
Max Verstappen,7.5,7.5,7.5,7.5,7.5,7.0,5.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.5,6.0,6.0,7.5,5.0,6.0,7.5,7.5,5.3,6.88,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.125,0.16666666666666666,0.14285714285714285,0.13333333333333333,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.13333333333333333,0.14285714285714285,0.14285714285714285,0.11764705882352941,0.16666666666666666,0.14285714285714285,0.11764705882352941,0.11764705882352941,0.15873015873015872,0.12690355329949238,0.13489685284717381,13.542404910076526
Lewis Hamilton,8.5,8.5,8.5,6.0,8.5,8.0,6.0,7.0,7.5,7.0,8.0,8.5,8.5,8.5,7.5,7.0,8.0,8.5,6.0,8.5,8.5,8.0,8.440000000000001,7.86,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.14285714285714285,0.10526315789473684,0.1111111111111111,0.14285714285714285,0.125,0.11764705882352941,0.125,0.1111111111111111,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.11764705882352941,0.125,0.1111111111111111,0.10526315789473684,0.14285714285714285,0.10526315789473684,0.10526315789473684,0.1111111111111111,0.10593220338983049,0.11286681715575622,0.11478085792316195,11.522943798269573
Charles Leclerc,14.0,14.0,14.0,14.0,14.0,14.0,12.0,10.0,12.0,10.0,12.0,14.0,14.0,14.0,12.0,10.0,13.0,14.0,12.0,12.0,14.0,14.0,14.2,14.7,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.07692307692307693,0.09090909090909091,0.07692307692307693,0.09090909090909091,0.07692307692307693,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.07692307692307693,0.09090909090909091,0.07142857142857142,0.06666666666666667,0.07692307692307693,0.07692307692307693,0.06666666666666667,0.06666666666666667,0.06578947368421052,0.06369426751592357,0.07229908528726832,7.258164048479185
George Russell,14.0,14.0,14.0,16.0,14.0,14.0,16.0,20.0,20.0,20.0,14.0,14.0,18.0,18.0,20.0,20.0,14.0,14.0,16.0,14.0,14.0,22.0,28.0,28.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.058823529411764705,0.06666666666666667,0.06666666666666667,0.058823529411764705,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.06666666666666667,0.06666666666666667,0.05263157894736842,0.05263157894736842,0.047619047619047616,0.047619047619047616,0.06666666666666667,0.06666666666666667,0.058823529411764705,0.06666666666666667,0.06666666666666667,0.043478260869565216,0.034482758620689655,0.034482758620689655,0.05690025398623113,5.712262834187253
Kimi Antonelli,66.0,66.0,66.0,66.0,66.0,50.0,80.0,50.0,40.0,50.0,66.0,66.0,50.0,50.0,40.0,50.0,60.0,66.0,80.0,65.0,66.0,80.0,28.0,58.0,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.0196078431372549,0.012345679012345678,0.0196078431372549,0.024390243902439025,0.0196078431372549,0.014925373134328358,0.014925373134328358,0.0196078431372549,0.0196078431372549,0.024390243902439025,0.0196078431372549,0.01639344262295082,0.014925373134328358,0.012345679012345678,0.015151515151515152,0.014925373134328358,0.012345679012345678,0.034482758620689655,0.01694915254237288,0.01753207545049701,1.7600593316556168
Yuki Tsunoda,100.0,100.0,100.0,100.0,100.0,100.0,250.0,150.0,250.0,150.0,150.0,100.0,150.0,150.0,250.0,150.0,150.0,125.0,250.0,125.0,100.0,150.0,293.0,283.0,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.00398406374501992,0.006622516556291391,0.00398406374501992,0.006622516556291391,0.006622516556291391,0.009900990099009901,0.006622516556291391,0.006622516556291391,0.00398406374501992,0.006622516556291391,0.006622516556291391,0.007936507936507936,0.00398406374501992,0.007936507936507936,0.009900990099009901,0.006622516556291391,0.003401360544217687,0.0035211267605633804,0.0071216588083452895,0.7149491272660596
Alex Albon,100.0,100.0,100.0,100.0,100.0,100.0,200.0,150.0,250.0,150.0,150.0,100.0,100.0,100.0,250.0,150.0,125.0,100.0,200.0,125.0,100.0,150.0,117.0,195.0,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.004975124378109453,0.006622516556291391,0.00398406374501992,0.006622516556291391,0.006622516556291391,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.00398406374501992,0.006622516556291391,0.007936507936507936,0.009900990099009901,0.004975124378109453,0.007936507936507936,0.009900990099009901,0.006622516556291391,0.00847457627118644,0.00510204081632653,0.007891311794889727,0.7922152173492933
Carlos Sainz,150.0,150.0,150.0,200.0,150.0,150.0,250.0,200.0,250.0,200.0,150.0,150.0,150.0,150.0,250.0,200.0,150.0,150.0,250.0,150.0,150.0,150.0,117.0,254.0,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.004975124378109453,0.006622516556291391,0.006622516556291391,0.00398406374501992,0.004975124378109453,0.00398406374501992,0.004975124378109453,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.00398406374501992,0.004975124378109453,0.006622516556291391,0.006622516556291391,0.00398406374501992,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.00847457627118644,0.00392156862745098,0.005872838715801433,0.5895790612035995
Fernando Alonso,150.0,150.0,150.0,200.0,150.0,150.0,250.0,150.0,250.0,150.0,200.0,150.0,300.0,300.0,250.0,150.0,200.0,200.0,250.0,150.0,150.0,300.0,538.0,528.0,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.004975124378109453,0.006622516556291391,0.006622516556291391,0.00398406374501992,0.006622516556291391,0.00398406374501992,0.006622516556291391,0.004975124378109453,0.006622516556291391,0.0033222591362126247,0.0033222591362126247,0.00398406374501992,0.006622516556291391,0.004975124378109453,0.004975124378109453,0.00398406374501992,0.006622516556291391,0.006622516556291391,0.0033222591362126247,0.0018552875695732839,0.001890359168241966,0.0050998691149239965,0.5119800135066035
Liam Lawson,250.0,250.0,275.0,250.0,275.0,200.0,500.0,300.0,250.0,300.0,250.0,250.0,300.0,300.0,250.0,300.0,250.0,250.0,500.0,275.0,250.0,300.0,97.0,283.0,0.00398406374501992,0.00398406374501992,0.0036231884057971015,0.00398406374501992,0.0036231884057971015,0.004975124378109453,0.001996007984031936,0.0033222591362126247,0.00398406374501992,0.0033222591362126247,0.00398406374501992,0.00398406374501992,0.0033222591362126247,0.0033222591362126247,0.00398406374501992,0.0033222591362126247,0.00398406374501992,0.00398406374501992,0.001996007984031936,0.0036231884057971015,0.00398406374501992,0.0033222591362126247,0.01020408163265306,0.0035211267605633804,0.0038890044260106674,0.39042032132345333
Lance Stroll,150.0,150.0,150.0,200.0,150.0,250.0,500.0,250.0,500.0,250.0,250.0,150.0,500.0,500.0,500.0,250.0,250.0,250.0,500.0,250.0,150.0,500.0,293.0,783.0,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.004975124378109453,0.006622516556291391,0.00398406374501992,0.001996007984031936,0.00398406374501992,0.001996007984031936,0.00398406374501992,0.00398406374501992,0.006622516556291391,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.00398406374501992,0.00398406374501992,0.00398406374501992,0.001996007984031936,0.00398406374501992,0.006622516556291391,0.001996007984031936,0.003401360544217687,0.0012755102040816326,0.003967985846355835,0.3983493304301296
Nico Hulkenberg,1000.0,1000.0,500.0,750.0,500.0,500.0,1000.0,1000.0,750.0,1000.0,1000.0,500.0,750.0,750.0,750.0,1000.0,1000.0,750.0,1000.0,1000.0,1000.0,750.0,979.0,969.0,0.000999000999000999,0.000999000999000999,0.001996007984031936,0.0013315579227696406,0.001996007984031936,0.001996007984031936,0.000999000999000999,0.000999000999000999,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.001996007984031936,0.0013315579227696406,0.0013315579227696406,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0013315579227696406,0.0010204081632653062,0.0010309278350515464,0.0012643868492851278,0.1269328254484466
Oliver Bearman,1000.0,1000.0,500.0,1000.0,500.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,750.0,750.0,750.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,750.0,979.0,969.0,0.000999000999000999,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0013315579227696406,0.0013315579227696406,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0013315579227696406,0.0010204081632653062,0.0010309278350515464,0.0011397333183948031,0.1144187559712292
Pierre Gasly,500.0,500.0,500.0,500.0,500.0,500.0,1000.0,500.0,750.0,500.0,600.0,500.0,500.0,500.0,750.0,500.0,750.0,500.0,1000.0,500.0,500.0,500.0,254.0,724.0,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.0013315579227696406,0.001996007984031936,0.0016638935108153079,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.0013315579227696406,0.001996007984031936,0.0013315579227696406,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.00392156862745098,0.001379310344827586,0.0018705656664131573,0.18778761053938728
Gabriel Bortoleto,2000.0,2000.0,500.0,1000.0,500.0,1000.0,2000.0,2000.0,1000.0,2000.0,1000.0,750.0,1000.0,1000.0,1000.0,2000.0,1500.0,1500.0,2000.0,1000.0,2000.0,1000.0,979.0,969.0,0.0004997501249375312,0.0004997501249375312,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.0004997501249375312,0.0004997501249375312,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0004997501249375312,0.0006662225183211193,0.0006662225183211193,0.0004997501249375312,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.0010204081632653062,0.0010309278350515464,0.0009040152048459101,0.09075482259588963
Jack Doohan,2000.0,2000.0,500.0,1000.0,500.0,1000.0,1500.0,2000.0,1000.0,2000.0,1000.0,750.0,1000.0,1000.0,1000.0,2000.0,1500.0,1500.0,1500.0,1000.0,2000.0,1000.0,979.0,969.0,0.0004997501249375312,0.0004997501249375312,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.0006662225183211193,0.0004997501249375312,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0004997501249375312,0.0006662225183211193,0.0006662225183211193,0.0006662225183211193,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.0010204081632653062,0.0010309278350515464,0.0009178879042945426,0.09214751419071888
Isack Hadjar,2000.0,2000.0,500.0,1000.0,500.0,1000.0,1500.0,2000.0,1000.0,2000.0,1000.0,750.0,1000.0,1000.0,1000.0,2000.0,1500.0,1500.0,1500.0,1000.0,2000.0,1000.0,979.0,53.0,0.0004997501249375312,0.0004997501249375312,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.0006662225183211193,0.0004997501249375312,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0004997501249375312,0.0006662225183211193,0.0006662225183211193,0.0006662225183211193,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.0010204081632653062,0.018518518518518517,0.0016465375161056662,0.16529724209353
Esteban Ocon,2000.0,2000.0,500.0,1000.0,500.0,1000.0,1500.0,2000.0,1000.0,2000.0,1000.0,750.0,1000.0,1000.0,1000.0,2000.0,1500.0,1500.0,1500.0,1000.0,2000.0,1000.0,979.0,969.0,0.0004997501249375312,0.0004997501249375312,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.0006662225183211193,0.0004997501249375312,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0004997501249375312,0.0006662225183211193,0.0006662225183211193,0.0006662225183211193,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.0010204081632653062,0.0010309278350515464,0.0009178879042945426,0.09214751419071888
